eb88768b73dc540194b0f8c2dceb44872a120276,CXF-2139,Bug,Deserializer for complex types is not created inside the generated JavaScript client code,JavaScript Client,Major,1
4bfd189bbc95f827bdb2b24e9465ecb30dcf5237,/,/,    added comments to identify what some of the message properties mean.,/,/,0
7d792c240cf568960c4f289da94ac61fc73aade5,/,/,    Put back the setElement call as SMX is using it.,/,/,0
84520f590bda71f6c72bf615543b0d7d5f32f783,/,/,    Increasing a bit the number of iterations and time delays for JAXWsExecutorTest,/,/,0
d0f9db29c328c95bd80cc9eccea3d830e60721b2,/,/,    Progress toward Aegis schema validation. Sadly  this now hits a bug in the validation support in woodstox.,/,/,0
0aedce6c629f6f477e9773e116d947a2b1f77b50,CXF-2138,Sub-task,Missing parameterOrder attribute in java2wsdl generated Doc/Lit wsdls,None,Major,1
588c300b0815b9e97b387e9832ef1211c29ae8e8,/,/,    Remove -p check for multiple schemas as its fixed in the latest jaxb's,/,/,0
4ef845a6b876101024b94c9645af4b498632fdb4,CXF-1999,Bug,HTTP conduit configuration is not loaded when not using Spring,None,Major,1
bbd48b767eea44ff50b8f237b61ce5ee1714f909,/,/,    Remove dependency on jaxws from aegis,/,/,0
5992123906141884a848ef817e0d81b9fdb33e6d,/,/,    Fix binding file schema location to use locator fragment for systemId.,/,/,0
e255b54b7336558647da007bc0d2010cecb9b593,/,/,    It looks like the fix to Oneway exposed a timing issue in here. Make this code stop whining for null responses  which happen in oneway. Remove use of JDOM.,/,/,0
c48363e94269d46912e7453fc9e8ca1161378269,/,/,    updated the getContent javadoc,/,/,0
5d6d49e773e32b1de353d3728380ce97dbbd1f97,/,/,    added some javadoc comments,/,/,0
98062c748282de1bb198b6e2685840a87f4e5a96,CXF-2122,Bug,NPE in AbstractJAXWSMethodInvoker,JAX-WS Runtime,Major,1
56bbde09564042015424c08998cdb2af6c8bdec2,/,/,    When validating a wsdl  collect all the errors and spit them all out  not just the first.,/,/,0
860bb91342365c531114ea3e6b424216f7358a4f,/,/,    Throw an ID into the logging stuff to make it easier to correlate the request/response in the logs,/,/,0
debf6fbfa2501bf6df3b5e3cae9873bf524a536f,/,/,    Apparently 2.0.9 is required for systests to build now,/,/,0
161e9729b4d981f869d7e9919168bc9a47786b88,/,/,    Fixes to work with jdk6,/,/,0
77535e4928803bbdd718efb7541dbd07d318848b,/,/,    Update catalog support to detect if xml-resolver is available and if not  disable itself.,/,/,0
10bd3561d40b91f56e76fac3a1881fc98bcd6787,/,/,    Remove class reference to jaxws api jar so jaxws-api jar should really be removable if not using jaxws,/,/,0
9a83d903a2ac00269f51dfcfeaddfbda7c7c3502,/,/,    Lock the outputstream on close.  Prevents double logging of outbound messages,/,/,0
cee9de1957bd25d9c1333abbe2f2be45e9e120ff,/,/,    Fix randomly failing test,/,/,0
d01423ed8042caeea60eba66f06eaeb66996146a,/,/,    Throw a better exception than a NPE if the crypto properties are not given,/,/,0
292ec4031ee036fa0121dd7e6ef50ea3e143edcd,/,/,    Fix problem of generating Response<void> (not valid) for async method when a void response is expected,/,/,0
b37dbff60aa37624f3fabfcfd31ed301aeaef7b3,/,/,    JAXRS: support for arrays,/,/,0
465083a674c44526e35865799cc5d8a3c46e99f9,/,/,    Add a soft reference to the DOM  since the WSDL will hang onto it once created.,/,/,0
ffb9eeb3e0ea379d3e9e88e351ae27937ed20191,CXF-2127,Task,Eliminate the DOM cache,None,Major,1
dc46f5679e619be8fe280d2b115b5c734b1e7fec,/,/,    Move a load of resources to the resources directory structure. Oh  and I also sort my socks alphabetically by color name.,/,/,0
bb8765a22de815b44a6c4b6a9e0be9337777b5c8,/,/,    Phase one of removing the DOM cache.,/,/,0
f6428c53ab657b8220bf352a7194529eddaaca09,/,/,    added some javadoc,/,/,0
90871d8f304010080fb49dd6b4caf815688bfd57,CXF-2133,Bug,ResponseBuilder implementation returns nulls from various builder methods,JAX-RS,Major,2
 ,CXF-2134,Bug,ResponseBuilder implementation sets date headers with Date.toString() method,JAX-RS,Major
d59246ea7b7ba05b12bffe7874386eb6072117df,/,/,    Updating Coloc binding test to use a thread-safe EasyMock control  updating classpath for integration demos,/,/,0
f5bada46d750db319940fc6cb96b10b8dc2535de,CXF-2104,Bug,Caller application hangs in case it uses the polling (Response) method with JAX-WS async mapping and an http error occurs during sending. In case of callback style (AsyncHandler)  the client application has no way of getting the exception.,JAX-WS Runtime,Major,1
59803fff98435c54acabb03889c4cf18e72b475b,/,/,    Make sure the oneway flag is set,/,/,0
2bb0a53681afac797d4c61c1865aca4fb0cd5975,/,/,    Updates to HttpConduit to handle DELETE and empty PUTs,/,/,0
c0fbf7a37fd531412b2401620fa7f8473ef26dd4,/,/,    Minor update to ProviderFactory to avoid a stack trace in OSGI,/,/,0
ee81981c1aab32aea49ed18efbe99d54dfac1c74,/,/,    Try to get xmlbeans stuff to run after a clean,/,/,0
98418abd4b759bb8e26f980d2082ea884c5fb889,CXF-1766,Bug,handler chain wildcard matching does not quite work,JAX-WS Runtime,Major,2
 ,CXF-2117,Bug,method AnnotationHandlerChainBuilder.patternMatches() causes CXF portability issues with other JAX-WS stacks,None,Major
0b3a036b3316d4c31d122ca7c2f6f78945a7b3fc,CXF-2124,Bug,DynamicClientFactory.createClient API would throw an exception with source path instead of classes path when classes.mkdir() call fails,JAXB Databinding,Minor,1
da0773710be57810f232ed4ea75ff61acf150f83,CXF-2129,Sub-task,Provider endpoint causes NPE in AbstractPolicyInterceptor,JAX-WS Runtime,Major,1
6e05bbdc4ff66ba7d4e1d043f9c041f57269fedd,/,/,    JAXRS: minor updates to do with conneg,/,/,0
c001d20cc1d38a5983d9edf9d92ec39ab067ddd0,/,/,    Upgraded the maven-resources-plugin version,/,/,0
2543785c4a6906dfb7d38852653ee7fbce5acc91,CXF-2126,Bug,Aegis makes bogus XML Schema in several cases,Aegis Databinding,Major,1
7eec1b676ab3824df60bd899cced1d71aee47aa8,CXF-2123,Bug,Generated Schemas are missing import statements,Aegis Databinding,Major,2
 ,CXF-2126,Bug,Aegis makes bogus XML Schema in several cases,Aegis Databinding,Major
ac65332e013a162787d6b1fcc9e8a00575475fc5,/,/,    Make a property on RSFB to enable validation  including validation of any schemata created by the data binding.,/,/,0
87dbc6e7472fd334241b357d9d8af9813e14af5d,/,/,    Turn the systests back on.,/,/,0
99b9ceeb8a69112e53003450e5c3fd14bcc31e84,CXF-2125,Bug,SOAPHandlerInterceptorTest.java inconsistency,None,Major,1
ffa668ddec06c2b30399b78d1421e16d92b4d757,/,/,    Second piece of first piece.,/,/,0
399c9ef15f87681dfdefa916e4e07d5ea8dce369,/,/,    Commit first piece of Xml Schema validator so that Eclipse will be less confused.,/,/,0
d95d7ba4fedcbf21a525c7b6f21ff086b04fd69d,CXF-2123,Bug,Generated Schemas are missing import statements,Aegis Databinding,Major,1
10eb1f0c18d148cc3a5ec4e3193e5b4dbdc6834f,/,/,    Reverting changes to old HTTPBinding tests,/,/,0
9e8dccdeb2d8024aef655d32c2b39d40248c3ec6,/,/,    JAXRS: XMLSource buffering mode,/,/,0
f87b7e63eff64dbb6393964195b3a29b19e4bbe4,/,/,    JAXRS : case-insensitive retrieval of http headers,/,/,0
7ae4e73d205828157d4124cbd87a9a16439afe67,/,/,    Add some security policy stuff to benchmark,/,/,0
e50709d169b0b5d2fd90a71bcaa5a757915b3070,/,/,    Use stax to setup saaj,/,/,0
fd174c808918936b51b006c96146a4e98103d797,/,/,    Added a systest for XMLBeans databinding,/,/,0
5eb835d0a90a774ddf4dde025645c3ca0693493a,/,/,    Fixed the wsdl_first_xmlbeans mvn start up issue,/,/,0
6d1554ea8ec653e3aba3e27baceee4973137c91e,CXF-2115,Bug,refactor JBIConduitOutputStream exception handle,None,Major,1
d59da58e8afcbce2614151a0d10113162bff98a3,/,/,    Updates to make sure streams close.   Cache some properties.,/,/,0
bcdb915c4342bf1f9cf90e37a14c248cb944d145,CXF-2116,Improvement,Refactoring of the WrapperHelper,None,Major,2
 ,CXF-2099,Improvement,support XMLSchema Vaildation in XMLBeans DataBinding,None,Major
9207511cce00e3d96a3aa3188bed259ed7dacbf7,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,0
c0cf68a2abea7ffaa34c9b71124e3117cbdec75c,/,/,    [maven-release-plugin] prepare release cxf-2.2,/,/,0
df4c203c761b7f44588053858a1dcf802d10b0d3,/,/,    Update rust13 descriptions,/,/,0
81dbeea64a659c5d84c2156f23edd503b409a974,/,/,    Update versions of various things,/,/,1
 ,CXF-2114,Sub-task,java2ws generates invalid import statement when using member classes,None,Major
b5b1947639ca420817480a76e9470a353793b1dc,/,/,    Update the readme for the interop samples,/,/,0
b78e0b02ea3f7ccf65a17a3326223d985b918e34,/,/,    Command line for trust clients.,/,/,0
5414eab9caaa148be3e12a3e03e779ab4c38794a,/,/,    Command line for wssec11,/,/,0
ed73f1bc940e319befa613232ea38e7b98c15a68,/,/,    Command line version for wssec10,/,/,0
34198650ccfeb90b0756fb5373f596c08c31cb8a,/,/,    Updates to get wssc working well from command line,/,/,0
b9ffe207ae073b2f7ab498cd7b8fd4175b36ab24,/,/,    Update headers,/,/,0
bf3cc6cddda75e6336763c30b9d07b42a8c3c398,/,/,    Remove jetty's servlet-api jar from distro,/,/,0
420e6f4242082fe8eeacebe6eef8cbece8756292,/,/,    Update the groupId to put them in samples,/,/,0
bbb2bf2de9425153cb93e0b83cb5770afb9184da,/,/,    Update pom version numbers  start updating readme,/,/,0
c88fa71d8b5c0a94cc4196d62d6374696bf2c3b5,/,/,    Fix checkstyle/pmd issues,/,/,0
0084fcd3a229e83ac24d162fc6966be5a32f2fc7,/,/,    Fix checkstyle issues in xmlbeans sample,/,/,0
52b9974dafc975447cfa1f260b94d1b1b2c80d08,/,/,    Remove the ancient and LONG LONG deprecated org.codehaus annotations,/,/,0
e88c5b9ae54d5d81f79e0954ceb2613677dfa090,/,/,    Remove deprecation warngings,/,/,0
df76f227b0c1f348141f931f319d5d20454b0e46,/,/,    Fix checkstyle issues,/,/,0
0a3757253ec02da1aebff4f2056dc8e65b76e614,/,/,    Update various versions of stuff  update release notes  update legal muck  etc....,/,/,0
25670091448e9d19a640f5d70284862c7c77c9a5,/,/,    Flip to test scope for now to not ship it,/,/,0
a3dcb81ce728e3683d0d3e780e904a8646750d24,CXF-2112,Sub-task,Missing element in generated WSDL definition,None,Major,1
5d8d76a4726cb3e94144423b5e2bc1325b298627,CXF-1950,Bug,wsdl2java omits @WebParam&apos;s header=true where &lt;wsdl:service&gt; element is missing.,Tooling,Minor,1
224f9f04a25e36066f4c6b52a42150e63b7d7708,/,/,    JAXRS : enhancing XMLSource  adding omitted JAXRSClientFactoryBeanTest,/,/,0
9d9ffc5356e6d6921a2cd07e933f23dc51643a2b,/,/,    * Locked org.codehaus.mojo:xmlbeans-maven-plugin version.,/,/,0
5f92d475df51ae624de948bd6972fda2e3efbc1d,/,/,    JAXRS : support for proxies with root classes containing template variables,/,/,0
240bfcff30f02d294764068c32683f00c455085f,CXF-2054,Bug,wsdl2java NPE on Async WSDL,None,Major,1
08076ec8bed0cdde17709706b2c009be547138dc,CXF-2110,Sub-task,Missing parameterOrder attribute in java2wsdl generated RPC wsdls,Tooling,Major,5
 ,CXF-2081,Improvement,Allow specifying a Java heap size when wsdl2java -compile invokes Java compiler,Tooling,Minor
 ,CXF-2069,New Feature,provide services list that&apos;s easily parseable,Transports,Trivial
