CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
ed02714c48f8e021cebaeb94aa815566d7168d1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
1cd666bfd952b9c2984ac704fe50ed8e6b73ec56,1,42,20,22,62,0,0,0,9,66,1,1,0,464,1,232,16,92,84,8,2609,2462,147,7,6,1,1,100,NoArch
be71a3bda4819ff6047359e30263366f2012ef47,3,12,10,2,22,0,0,0,8,234,2,2,1.292727215,691,2,233,16,100,100,0,3599,3586,13,30,30,0,2,100,NoArch
c70233b88268c1ada45a647caf4a8e880d344b6f,1,1,0,1,1,0,0,0,3,167,1,1,0,101,1,234,17,10,10,0,501,492,9,4,4,0,1,100,NoArch
83f5452710cee198a7265be056a3eda4755e9599,1,1,0,1,1,0,0,0,4,0,1,1,0,102,1,235,18,10,10,0,510,501,9,4,4,0,0,100,NoArch
70bdf3016c9a1f5865aaa3081b9ba812b2d33e5f,2,32,4,28,36,0,0,0,10,269,2,2,0.811278124,829,1,236,19,130,123,7,5810,5580,230,17,17,0,0,100,NoArch
29905f4449fa82f6b757b8ef3e39e020b7151004,2,14,3,11,17,0,0,0,2,426,1,1,0.672294817,356,1,237,20,34,31,3,1267,1192,75,19,18,1,0,100,NoArch
4f096cdcfac5ca103f34d69ad92b15613db186f7,14,349,105,244,454,1,0,1,7,183,2,10,2.504970919,4129,2,58,4,543,517,26,22249,21070,1179,233,217,16,0,99.44278011,NoArch
de3669605eb93cbf9a3420623b731270d897c1f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,0,0,0,0,0,0,0,0,0,100,NoArch
2170fea2e0b9423970181e8256a34e388fd2b486,4,44,9,35,53,1,0,1,6,0,1,1,1.161948015,168,2,60,6,11,7,4,614,566,48,11,7,4,0,99.96967124,NoArch
005861ec81666548ccc61c4e90b2e921f1ebdb08,1,18,40,22,58,0,0,0,5,0,1,1,0,377,2,61,7,36,40,4,2850,2798,52,19,20,1,0,100,NoArch
5aaef29f511e815578bf579b54db130931ed03a1,5,108,14,94,122,1,0,1,6,170,1,4,1.969694897,1368,1,62,8,186,179,7,7940,7631,309,63,60,3,1,94.69122427,Arch
4ae41309e4481481b9a14af1d25c1bcf001f7225,9,152,100,52,252,0,0,0,6,167,4,9,2.718598594,2941,2,30,6,432,427,5,17662,17676,14,116,114,2,0,100,NoArch
ba27ecd8bb201643319a549ee249571436f1b221,4,14,25,11,39,0,0,0,3,354,2,4,1.842904212,555,1,238,21,44,44,0,3032,3020,12,23,23,0,1,100,NoArch
307a0450f90309c29e7b78d765befdfd57830473,4,38,25,13,63,0,0,0,6,73,2,3,1.663555571,1475,2,31,7,269,269,0,8577,8563,14,95,93,2,0,99.98531787,NoArch
6d4c115c26677a8e954a86216d3824dbf72d7b6b,4,72,24,48,96,0,0,0,6,329,1,3,1.269659458,2088,1,239,22,210,203,7,13806,13496,310,109,107,2,1,100,NoArch
690dd8414395698bde59327d729588f8b6e321e3,1,0,9,9,9,0,0,0,7,0,1,1,0,1283,1,240,23,91,92,1,9297,9356,59,46,47,1,0,100,NoArch
572ce67744317dec56790f6024dc1bcdd3c0fc39,4,96,9,87,105,0,0,0,6,241,1,2,1.724193782,1124,3,1,1,205,205,0,5618,5618,0,89,89,0,0,100,NoArch
a020528481a76cb8bd2f7aeb9b2caf31de9038a6,5,82,81,1,163,0,0,0,7,63,1,3,1.795111922,1840,1,241,24,303,302,1,8843,8833,10,126,126,0,0,100,NoArch
4d3fe068c26f5b1f7290ea27afc848cecdb52659,2,33,15,18,48,0,0,0,2,436,1,2,0.994984828,290,2,32,6,45,46,1,1168,1218,50,27,27,0,0,100,NoArch
486e0864038d090873a5a098d908f7172159501c,1,0,18,18,18,0,0,0,3,0,1,1,0,238,2,33,7,38,38,0,858,858,0,24,24,0,0,100,NoArch
e7b9afa9e2bf23719d18dd6bcd50c7376df6c18d,2,33,3,30,36,0,0,0,6,112,1,2,0.503258335,304,1,242,23,51,41,10,1732,1581,151,26,24,2,1,92.53663524,Arch
0d8a79e6dd6e50ee86e3ecdfccbc2b73efb81016,6,65,4,61,69,0,0,0,9,240,2,5,1.786945367,1860,1,243,23,231,219,12,11125,10802,323,84,79,5,1,96.87715991,Arch
3c2c30df269c114acfa92eb6908a7894ec0b45f6,6,38,115,77,153,0,0,0,7,272,3,6,2.484008451,3167,2,34,8,366,370,4,18046,18168,122,116,116,0,0,99.77050724,NoArch
2ec1a9da1df4cc7582903d75b0675c331590e3c5,2,3,2,1,5,0,0,0,2,438,2,2,0.970950594,927,1,244,22,62,62,0,6532,6521,11,34,34,0,0,100,NoArch
56d133b6854d9cb9b1250d81c9134ac4e6ca528b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,23,0,0,0,0,0,0,0,0,0,0,100,NoArch
