NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
10,30,15,15,0,0,0,9,67,431,3,6,2.957448599,10182,1275,7,905,905,0,41623,41609,14,594,594,0,1,100.0,NoArch
1,66,10,56,0,0,0,1,9,630,1,1,0.0,519,1351,7,41,41,0,5146,4559,587,37,37,0,0,100.0,NoArch
1,0,16,16,0,1,1,1,2,47,1,1,0.0,16,198,9,0,0,0,0,0,0,0,0,0,0,99.98423459,NoArch
10,55,10,45,0,0,0,3,202,584,4,7,2.705339929,13618,3,0,1142,1138,4,64555,64272,283,814,811,3,1,100.0,NoArch
7,184,38,146,0,0,0,39,91,86,1,4,2.349161754,7922,1758,3,945,928,17,36933,36439,494,469,461,8,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,52,22,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,42,11,31,0,0,0,11,29,23,1,1,0.979098167,1047,3,3,149,146,3,5125,4968,157,41,39,2,1,99.94986352,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,55,25,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,54,1,53,0,0,0,3,14,525,1,2,0.999761525,1701,1308,6,135,129,6,11118,10822,296,82,81,1,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,28,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
5,4,11,7,0,0,0,6,22,295,1,2,2.256564762,784,56,0,73,76,3,3431,3518,87,50,50,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,50,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,42,40,2,0,0,0,59,158,103,1,1,0.0,5793,1889,0,372,372,0,22611,22611,0,361,361,0,0,100.0,NoArch
7,726,93,633,0,0,0,1,7,152,1,5,1.69973603,20865,89,3,3366,3314,52,112827,110398,2429,1859,1832,27,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,349,12,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,76,9,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,242,0,242,1,0,1,48,185,4,1,2,0.902393283,6071,0,0,448,432,16,29131,27947,1184,437,429,8,1,99.97405293,NoArch
5,1130,1031,99,2,0,2,1,70,59,1,2,1.536949253,8565,1281,9,546,544,2,37665,37130,535,415,413,2,0,93.21990533,Arch
4,105,0,105,0,0,0,1,12,309,1,4,1.868140431,2553,1282,10,490,464,26,12939,12253,686,296,283,13,1,96.11226133,Arch
4,72,39,33,0,0,0,1,20,623,1,2,1.338755522,2787,1284,4,346,341,5,11768,11565,203,102,101,1,1,88.72864744,Arch
4,858,826,32,1,0,1,1,19,106,1,2,1.511903578,2837,1292,9,464,463,1,16825,16767,58,166,165,1,0,96.01843318,Arch
5,200,1021,821,0,0,0,4,20,11,1,3,1.216132395,3017,1293,10,319,464,145,12389,17499,5110,136,166,30,0,88.77961556,Arch
16,230,181,49,0,0,0,4,31,303,1,3,3.397695943,7077,1303,1,519,511,8,23696,23698,2,187,189,2,1,86.60856935,Arch
