NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
3,1,4,3,0,0,0,6,41,422,1,1,1.370950594,870,181,0,95,95,0,4838,4852,14,38,38,0,1,100.0,NoArch
1,16,9,7,0,0,0,8,36,826,1,1,0.0,126,120,15,10,10,0,781,768,13,2,2,0,1,100.0,NoArch
5,5,5,0,0,0,0,2,15,104,1,1,2.321928095,549,743,21,39,39,0,3234,3230,4,20,20,0,0,100.0,NoArch
1,1,2,1,0,0,0,1,2,70,1,1,0.0,283,16,4,35,35,0,1473,1485,12,10,10,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,56,19,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
3,68,2,66,0,0,0,1,42,328,1,3,1.51248501,1194,75,2,127,124,3,7638,7252,386,59,57,2,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,772,40,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
42,1216,443,773,3,0,3,3,9,66,2,14,4.058888671,6631,30,0,772,684,88,36120,31232,4888,312,302,10,1,99.49267193,NoArch
3,1,4,3,0,0,0,6,41,422,1,1,1.370950594,870,181,0,95,95,0,4838,4852,14,38,38,0,1,100.0,NoArch
2,14,8,6,0,0,0,3,42,0,1,2,1.0,493,3,3,27,27,0,3149,3131,18,5,5,0,1,100.0,NoArch
2,28,1,27,0,0,0,4,55,246,1,2,0.79732651,373,379,0,32,29,3,2372,2202,170,9,8,1,1,99.98556165,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,61,1,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,48,21,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
127,127,0,127,0,0,0,5,81,993,1,30,6.988684687,17771,160,9,1633,1633,0,99147,98893,254,647,647,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,315,13,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,1,4,3,0,0,0,2,12,17,1,2,0.970950594,525,132,43,56,56,0,2835,2837,2,34,34,0,0,100.0,NoArch
32,504,8,496,2,0,2,2,13,445,4,15,4.901616728,5210,964,1,670,670,0,35770,35770,0,259,259,0,1,98.46837188,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,60,5,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
3,81,114,33,0,0,0,4,12,70,1,3,1.2293036,1008,199,5,59,62,3,8261,8532,271,42,43,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,728,8,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
