@relation AvroData_predict2

@attribute NMF numeric
@attribute LC numeric
@attribute NAD numeric
@attribute ' NUC' numeric
@attribute ' NMS' numeric
@attribute ' NMD' numeric
@attribute ' Entropy ' numeric
@attribute MLMF numeric
@attribute CFC numeric
@attribute NCC numeric
@attribute NMC numeric
@attribute Tag {NoArch,Arch}

@data
36,1340,13,33,1,8,4.478931,4561,170,6494,88,Arch
36,1340,13,34,1,8,4.477747,3221,170,6494,88,Arch
36,1340,13,33,1,8,4.478931,4561,170,6494,88,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
36,1340,13,34,1,8,4.477747,3221,170,6494,88,Arch
36,1340,13,33,1,8,4.478931,4561,170,6494,88,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
36,1340,13,34,1,8,4.477747,3221,170,6494,88,Arch
36,1340,13,33,1,8,4.478931,4561,170,6494,88,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
36,1340,13,34,1,8,4.477747,3221,170,6494,88,Arch
36,1340,13,33,1,8,4.478931,4561,170,6494,88,Arch
158,24136,158,25,1,22,6.662493,0,3246,118102,1575,Arch
158,24136,158,0,1,22,6.662493,24136,3246,118102,1575,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
36,1340,13,34,1,8,4.477747,3221,170,6494,88,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
36,1340,13,33,1,8,4.478931,4561,170,6494,88,Arch
36,1340,13,34,1,8,4.477747,3221,170,6494,88,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
29,1566,15,28,1,12,4.298146,2463,187,7646,101,Arch
3,140,1,3,1,2,1.140227,204,14,782,12,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
1,0,0,2,1,1,?,59,0,0,0,NoArch
2,38,0,35,1,2,0.924134,668,4,291,1,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
4,237,2,12,1,1,1.648238,170,18,1149,7,Arch
3,0,0,13,1,2,1.21081,336,0,0,0,NoArch
3,165,1,3,1,2,1.563853,299,20,787,10,NoArch
7,89,0,21,1,2,2.494649,1083,9,392,6,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
4,635,4,1,1,2,1.836715,0,59,3086,43,Arch
3,12,0,14,1,2,1.122114,839,0,60,0,NoArch
22,34,0,22,1,7,3.195262,2151,1,139,2,NoArch
2,3,0,3,1,2,0.139233,206,1,11,1,NoArch
3,309,0,5,1,2,1.411381,407,23,1928,10,NoArch
3,309,0,6,1,2,1.418783,716,23,1928,10,NoArch
29,761,10,38,1,9,3.920736,2455,107,4689,92,Arch
1,2,0,36,1,1,0,430,0,18,0,NoArch
5,385,2,7,1,2,1.959088,407,28,2182,13,Arch
6,72,0,23,1,4,2.450371,749,12,360,4,NoArch
2,37,0,41,1,2,0.421166,1703,9,327,4,NoArch
1,6,0,42,1,1,0,1116,2,38,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
3,8,0,32,1,3,1.014098,490,1,16,1,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
14,2354,13,20,1,3,3.442133,252,184,12072,73,Arch
1,1,0,2,1,1,0,220,0,11,0,NoArch
27,40,1,40,1,12,4.100905,6318,9,82,4,Arch
2,2,0,4,1,2,0.650022,143,0,21,0,NoArch
4,279,1,34,1,4,1.468546,1168,42,1340,34,NoArch
4,65,0,5,1,2,1.669312,412,9,472,5,NoArch
8,629,2,3,1,2,1.835681,895,72,3141,22,NoArch
3,221,0,43,1,3,0.681163,2134,60,1587,12,NoArch
1,7,0,38,1,1,0,432,0,23,0,NoArch
2,1,0,6,1,2,0.619382,235,0,2,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
2,16,0,44,1,2,0.543564,1969,2,94,1,NoArch
2,30,0,43,1,2,0.727301,873,6,189,2,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
13,794,4,4,1,3,2.960611,1576,95,3926,55,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
2,53,0,6,1,1,0.225364,227,3,356,1,NoArch
2,37,0,44,1,2,0.999473,1136,12,262,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
4,50,0,21,1,2,1.839583,968,9,231,10,NoArch
3,33,1,33,1,3,1.453147,940,5,87,2,NoArch
5,44,0,34,1,3,1.590507,1738,8,358,3,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
6,6,0,23,1,4,2.113572,1273,0,29,0,NoArch
1,1,0,24,1,1,0,237,0,9,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
4,73,0,5,1,4,1.999598,419,0,0,0,NoArch
4,76,1,4,1,2,1.467575,915,10,496,6,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
1,17,0,2,1,1,0,29,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
8,12,0,45,1,4,2.682356,2863,0,48,1,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
1,0,0,17,1,1,0,194,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
2,36,0,24,1,2,0.710677,409,5,188,2,NoArch
1,7,0,37,1,1,0,389,0,40,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
7,271,3,8,1,2,2.195529,1110,24,1080,10,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
8,12,0,45,1,4,2.682356,2894,0,48,1,NoArch
7,271,3,5,1,2,2.195529,1366,24,1080,10,NoArch
7,271,3,8,1,2,2.195529,1095,24,1080,10,NoArch
7,271,3,5,1,2,2.195529,1366,24,1080,10,NoArch
7,271,3,8,1,2,2.195529,1095,24,1080,10,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
7,271,3,5,1,2,2.195529,1366,24,1080,10,NoArch
7,271,3,8,1,2,2.195529,1095,24,1080,10,NoArch
7,271,3,5,1,2,2.195529,1366,24,1080,10,NoArch
7,271,3,8,1,2,2.195529,1095,24,1080,10,NoArch
