NMF,LC,NAD, NUC, NMS, NMD, Entropy ,MLMF,CFC,NCC,NMC,a2a
38,1355,13,34,1,9,4.533979536,4151,172,6576,89,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
0,0,0,0,0,0,0,0,0,0,0,100
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
0,0,0,0,0,0,0,0,0,0,0,100
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
158,24136,158,25,1,22,6.662493493,0,3246,118102,1575,58.81826321
158,24136,158,0,1,22,6.662493493,24136,3246,118102,1575,58.81826321
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
0,0,0,0,0,0,0,0,0,0,0,100
36,1340,13,33,1,8,4.478930535,4561,170,6494,88,95.33851276
36,1340,13,34,1,8,4.4777467,3221,170,6494,88,95.33851276
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
29,1566,15,28,1,12,4.298145929,2463,187,7646,101,88.83034773
3,140,1,3,1,2,1.14022707,204,14,782,12,97.97979798
0,0,0,0,0,0,0,0,0,0,0,100
1,0,0,2,1,1,NaN,59,0,0,0,99.59758551
2,38,0,35,1,2,0.924133542,668,4,291,1,100
0,0,0,0,0,0,0,0,0,0,0,100
4,237,2,12,1,1,1.648237882,170,18,1149,7,88.58921162
3,0,0,13,1,2,1.210810026,336,0,0,0,99.14346895
