@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-12,14-26,28'

@attribute ' Entropy ' numeric
@attribute a2a numeric

@data
6.730452,86.807611
6.728243,86.807611
6.730452,86.807611
6.762739,86.280358
6.777226,86.206897
6.771837,86.12766
6.77413,86.12766
6.771837,86.12766
6.77413,86.12766
6.776794,86.12766
6.774262,86.12766
6.771974,86.12766
6.774262,86.12766
6.772205,86.12766
6.774262,86.12766
6.800019,85.835454
6.793693,86.046512
6.796,86.046512
6.793094,86.046512
6.789748,86.046512
2.185082,91.555243
4.239625,93.822526
3.5883,97.388579
4.928152,95.670996
2.522928,97.435105
0,97.432905
0,88.80814
0,96.160558
0,38.875306
0.890492,97.204659
0,68.274278
3.234896,96.998828
8.545446,82.60208
8.536499,82.556962
8.546898,82.65692
8.538037,82.65692
8.547147,82.65692
8.541325,83.253709
8.550386,83.253709
8.541325,83.253709
8.550386,83.253709
8.541325,83.253709
8.550386,83.253709
8.545632,84.767866
8.554546,84.767866
8.545531,84.767866
8.554546,84.767866
8.536319,84.707724
8.543735,84.639498
8.535126,84.639498
8.543735,84.639498
8.537123,81.65038
8.543735,81.687466
8.533959,81.687466
8.544133,82.094684
8.534535,82.094684
8.544133,82.094684
8.533519,82.094684
8.543128,82.094684
8.533519,82.094684
8.543133,82.094684
8.53361,82.133404
8.543213,82.133404
8.53361,82.133404
8.542709,82.133404
8.53313,82.133404
8.542709,82.133404
8.53313,82.133404
8.542731,82.133404
8.533154,82.133404
8.542709,82.133404
8.53313,82.133404
3.177072,96.548395
8.541995,80.953589
8.532428,80.953589
8.542587,80.953589
0.594727,96.615905
0.594727,96.615905
7.487602,89.075829
7.446079,89.304307
7.446859,89.304307
7.505574,89.085337
7.506625,89.085337
7.505574,89.085337
7.506625,89.085337
7.505574,89.085337
7.506625,89.085337
7.505574,89.085337
3.652856,97.754454
7.586723,88.954729
7.600555,88.891521
7.60685,88.891521
7.606045,88.891521
7.606961,88.891521
7.6139,88.849432
7.69837,88.734058
7.697812,88.734058
7.69837,88.734058
7.711919,88.70283
1.101084,96.970387
7.733886,88.291279
7.785394,87.907489
7.790515,87.907489
7.795071,87.907489
7.79612,87.907489
7.783607,87.907489
