@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-9,11-26,28'

@attribute ' AGE' numeric
@attribute a2a numeric

@data
258,82.094684
28,82.094684
258,82.094684
28,82.094684
258,82.094684
28,82.094684
258,82.133404
28,82.133404
258,82.133404
31,82.133404
258,82.133404
32,82.133404
258,82.133404
32,82.133404
258,82.133404
34,82.133404
258,82.133404
169,96.548395
34,80.953589
258,80.953589
35,80.953589
291,96.615905
3,96.615905
271,89.075829
560,89.304307
275,89.304307
588,89.085337
273,89.085337
588,89.085337
273,89.085337
588,89.085337
273,89.085337
588,89.085337
39,97.754454
266,88.954729
581,88.891521
266,88.891521
584,88.891521
267,88.891521
587,88.849432
220,88.734058
546,88.734058
221,88.734058
545,88.70283
104,96.970387
235,88.291279
523,87.907489
199,87.907489
524,87.907489
200,87.907489
524,87.907489
200,87.907489
524,87.907489
200,87.907489
524,87.907489
201,87.86878
523,87.86878
201,87.86878
523,87.86878
201,87.86878
523,87.86878
201,87.86878
523,87.86878
404,89.631285
202,84.924506
532,84.924506
202,84.924506
531,84.924506
203,84.924506
531,84.924506
206,84.924506
529,85.054477
213,85.054477
533,85.054477
213,85.054477
531,85.054477
213,85.054477
531,85.054477
213,85.054477
531,85.054477
212,85.054477
404,89.631285
468,93.925348
497,93.925348
462,93.925348
493,93.925348
455,93.925348
464,93.925348
460,93.925348
464,93.925348
460,93.925348
464,93.925348
456,93.925348
441,93.925348
467,93.925348
441,93.925348
444,93.925348
464,93.925348
475,93.925348
464,93.925348
510,93.925348
464,93.925348
460,93.925348
464,93.925348
442,93.876555
464,93.962356
547,93.962356
464,93.962356
460,93.962356
477,93.868371
463,93.868371
477,93.868371
467,93.868371
477,93.868371
486,93.800284
484,93.874172
466,93.874172
484,93.874172
469,93.874172
460,93.874172
501,93.874172
460,93.874172
501,93.874172
460,93.874172
490,93.874172
460,93.874172
540,93.826869
460,93.874172
497,93.874172
869,97.760041
481,94.165863
522,94.165863
481,94.165863
513,94.165863
481,94.165863
524,94.165863
475,94.117647
576,94.117647
479,94.093539
519,94.093539
479,94.093539
554,90.253411
433,90.253411
557,90.253411
434,90.253411
618,90.253411
404,90.253411
626,90.253411
404,90.253411
618,90.253411
404,90.253411
618,90.253411
404,90.253411
618,90.253411
404,90.253411
618,90.253411
1844,97.970639
404,89.860217
618,89.860217
406,89.860217
614,89.860217
406,89.860217
628,89.83803
406,89.860217
647,89.860217
409,89.860217
667,89.860217
409,89.860217
667,89.860217
427,89.824873
657,89.824873
427,89.824873
667,89.824873
428,89.824873
709,89.824873
403,89.824873
712,89.600887
381,89.600887
712,89.600887
381,89.600887
764,89.553234
408,89.553234
804,89.553234
355,89.242054
1240,89.242054
355,89.242054
