CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a
6c37a89744149e68f198429fb7eac70fe1707360,144,7242,3137,4105,37,4,41,1,290,281,5,35,6.244934608,27003,1187,9,3257,2861,396,131149,111421,19728,1491,1313,178,1,92.07556428
6b82e83024800c0c0e55d1da7282f0558a7278a4,4,33,6,27,0,0,0,3,5,5,1,2,1.40384793,1160,1188,10,124,121,3,5350,5243,107,33,33,0,1,99.97702206
05d9ee3cfbbb94b6aed5e1aae2d31365182bbcd9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,11,0,0,0,0,0,0,0,0,0,1,100
6d13e86d76ab68206cb7261f2c77dd80d1404998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,12,0,0,0,0,0,0,0,0,0,0,100
d04d6265e8e273d5affc25c261c2e81eca042ce2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,13,0,0,0,0,0,0,0,0,0,0,100
ae04af8e05c4309f56e0b0d0e1460c37457b8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,14,0,0,0,0,0,0,0,0,0,0,100
f2b3f35f702a46d7a26be30ef929a0f15235f1fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,15,0,0,0,0,0,0,0,0,0,0,100
26dde61f15bcaf29f2349afa33bfc679b9f88b89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,16,0,0,0,0,0,0,0,0,0,0,100
e75d39f41a51b3db41e538b548d54931856b9c73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,17,0,0,0,0,0,0,0,0,0,0,100
9c801ca1df1a4f91ddba1f4e5355fabece376bde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,100
