NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
1,0,32,32,0,0,0,3,26,11,1,1,0,130,4930,19,8,11,3,260,330,70,8,9,1,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,11,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,20,2,18,0,0,0,1,3,0,1,1,0,69,1689,14,6,3,3,213,135,78,3,3,0,1,99.98418222,NoArch
1,1,1,0,0,0,0,4,15,97,1,1,0,250,1867,62,35,35,0,1030,1020,10,7,7,0,1,100,NoArch
14,2696,2809,113,0,0,0,2,5,310,1,4,2.284838301,6577,13,6,678,688,10,22950,23515,565,255,258,3,1,99.95760916,NoArch
1,4,0,4,0,0,0,3,23,1335,1,1,0,192,5042,50,25,24,1,818,808,10,8,8,0,1,100,NoArch
2,4,4,0,0,0,0,4,6,0,1,1,1,373,311,30,6,6,0,1766,1766,0,6,6,0,1,100,NoArch
1,3,0,3,0,0,0,2,2,394,1,1,0,159,50,6,17,16,1,757,747,10,4,4,0,1,100,NoArch
1,2,6,4,0,0,0,3,10,3248,1,1,0,274,5172,50,29,29,0,1271,1291,20,6,6,0,1,100,NoArch
8,306,22,284,2,0,2,2,8,212,1,3,1.724392846,3057,22,2,415,380,35,15389,14300,1089,117,92,25,1,99.86111111,NoArch
