CommitID,FileName,FromFile,ToFile,FileDeps,FilesDeps,CommitDeps
,TestResolvingIO_resolving.java,3,0,3,,
,TestResolvingTable.java,0,0,0,,
,TestValidatingIO.java,11,3,14,,
,TestInvocationReporter.java,0,0,0,,
,TestOutputInterceptor.java,0,0,0,,
,TestSuiteInterceptor.java,0,0,0,,
cea9e51cfb33fb2baef302e0e7c1f4bf8f87a9f6,/,0,0,0,0,453
fc44dd5d2201fae7208660c0bfb5d4847f452c87,/,0,0,0,0,453
c7a4f7c2caad4117a71f23ae97cfc10237674be0,/,0,0,0,0,453
cad632eb6c894f77cdf40f8c458491aba9677852,DatagramServer.java,0,0,0,171,5424
,DatagramTransceiver.java,0,0,0,,
,RPCContext.java,2,4,6,,
,RPCPlugin.java,1,3,4,,
,Requestor.java,49,12,61,,
,Responder.java,46,11,57,,
,Server.java,2,7,9,,
,SocketServer.java,2,7,9,,
,SocketTransceiver.java,1,8,9,,
,RPCMetaTestPlugin.java,3,3,6,,
,TestProtocolDatagram.java,0,0,0,,
,TestProtocolSpecific.java,7,3,10,,
0c2a837bb14eab720fef8a25409a8e489897b507,GenericData.java,9,10,19,19,467
86614561e4d1dd43a1e508f169c091e7cc935a4c,/,0,0,0,0,468
5661078ce4669dc428f8f59f39aa182666020f38,GenericDatumReader.java,11,9,20,20,467
7c346f7ae726fd3213a9974752a3c4739469f79b,JsonEncoder.java,9,2,11,56,2335
,JsonGrammarGenerator.java,3,3,6,,
,Parser.java,4,9,13,,
,Symbol.java,0,11,11,,
,TestSchema.java,15,0,15,,
78983ffcfbf719ee6d190c486074c87779c6663f,/,0,0,0,0,468
777d0477c689d2fd9ebfe72dbd4e4dbab705a99f,Protocol.java,3,12,15,389,11675
,Schema.java,17,46,63,,
,Requestor.java,49,13,62,,
,Responder.java,45,13,58,,
,ReflectData.java,10,8,18,,
,ReflectDatumReader.java,4,6,10,,
,ReflectDatumWriter.java,5,5,10,,
,ReflectRequestor.java,12,3,15,,
,ReflectResponder.java,14,3,17,,
,ProtocolTask.java,2,1,3,,
,SchemaTask.java,2,0,2,,
,SpecificCompiler.java,2,2,4,,
,SpecificData.java,5,3,8,,
,SpecificDatumReader.java,3,5,8,,
,SpecificDatumWriter.java,3,5,8,,
,SpecificRequestor.java,10,3,13,,
,SpecificResponder.java,6,3,9,,
,TestCompare.java,11,0,11,,
,TestDataFile.java,10,0,10,,
,TestDataFileReflect.java,9,0,9,,
,TestNamespaceReflect.java,0,0,0,,
,TestNamespaceSpecific.java,0,0,0,,
,TestProtocolGeneric.java,14,1,15,,
,TestProtocolSpecific.java,8,4,12,,
,TestReflect.java,9,0,9,,
e0c27e12a33b282eb0036e8c5c95a338a7977c0c,SpecificCompiler.java,4,2,6,18,970
,TestProtocolSpecific.java,8,4,12,,
b397dd7b6f952bd1d2f34a09127661cee1b3e679,/,0,0,0,0,486
aa7305fcb283a28841eb1f03959c0c1550c187f5,TestDataFileReflect.java,9,0,9,9,485
8289fbdb37bb10b52d772327cb124555e1dfb020,/,0,0,0,0,486
6b2a2265e242307fa50030990bc018bff7a7964a,HttpServer.java,0,0,0,0,1455
,HttpTransceiver.java,0,0,0,,
,TestProtocolHttp.java,0,0,0,,
4ae97e26c4037a97aca08f05c93a2887285d356e,HttpTransceiver.java,1,2,3,15,1488
,TestBulkData.java,0,0,0,,
,TestFsData.java,12,0,12,,
fdd0b8cb52af8256e5691d3065b256a387d17718,/,0,0,0,0,493
2b348c1f4dfe97f755034d57d5336cfd7ab130df,/,0,0,0,0,493
dc0107bc2ed79e4c17b8ddbb178fd14357d47147,DataFileConstants.java,0,0,0,18,1476
,DataFileReader.java,7,2,9,,
,DataFileWriter.java,5,4,9,,
35776f85ca9b658fb187a988966c259781759ed7,/,0,0,0,0,494
