CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete
d8d90987da6300e3c0a8741dfedc8109fee49da2,0,0,0,/,-1,-1,-1,0,0
14c0ae1564cd6a067abb735c3b4f09ddf200910a,0,0,0,/,-1,-1,-1,0,0
1dbb683d17f571213a8367d8e1306019063325d3,0,0,0,/,-1,-1,-1,0,0
e6994922462bdae76cceebdd19515a76f15497bf,0,0,0,/,-1,-1,-1,0,0
12b51f98003fb0af5966eb6710a8270d69dd7ee3,0,0,0,/,-1,-1,-1,0,0
116a973813541d4f6ca000ae27090074871e714e,97,2872,5380,src/java/org/apache/avro/AvroRuntimeException.java,0,1,25,7,26
,,,,src/java/org/apache/avro/AvroTypeException.java,0,1,26,,
,,,,src/java/org/apache/avro/Protocol.java,2,5,342,,
,,,,src/java/org/apache/avro/Schema.java,33,37,729,,
,,,,src/java/org/apache/avro/SchemaParseException.java,0,1,25,,
,,,,src/java/org/apache/avro/file/DataFileReader.java,1,2,219,,
,,,,src/java/org/apache/avro/file/DataFileWriter.java,1,15,207,,
,,,,src/java/org/apache/avro/file/SeekableFileInput.java,1,4,35,,
,,,,src/java/org/apache/avro/file/SeekableInput.java,5,6,37,,
,,,,src/java/org/apache/avro/generic/GenericArray.java,1,2,37,,
,,,,src/java/org/apache/avro/generic/GenericContainer.java,0,27,27,,
,,,,src/java/org/apache/avro/generic/GenericData.java,10,160,429,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,10,11,463,,
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,73,12,192,,
,,,,src/java/org/apache/avro/generic/GenericFixed.java,1,1,24,,
,,,,src/java/org/apache/avro/generic/GenericRecord.java,6,2,24,,
,,,,src/java/org/apache/avro/generic/GenericRequestor.java,0,1,58,,
,,,,src/java/org/apache/avro/generic/GenericResponder.java,0,1,55,,
,,,,src/java/org/apache/avro/io/BinaryData.java,0,192,192,,
,,,,src/java/org/apache/avro/io/BinaryDecoder.java,2,3,301,,
,,,,src/java/org/apache/avro/io/BinaryEncoder.java,2,3,251,,
,,,,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,2,8,628,,
,,,,src/java/org/apache/avro/io/DatumWriter.java,0,1,36,,
,,,,src/java/org/apache/avro/io/Decoder.java,12,5,280,,
,,,,src/java/org/apache/avro/io/Encoder.java,1,1,275,,
,,,,src/java/org/apache/avro/io/JsonDecoder.java,0,399,399,,
,,,,src/java/org/apache/avro/io/JsonEncoder.java,0,241,241,,
,,,,src/java/org/apache/avro/io/ParsingDecoder.java,0,75,75,,
,,,,src/java/org/apache/avro/io/ParsingEncoder.java,0,70,70,,
,,,,src/java/org/apache/avro/io/ParsingTable.java,383,0,0,,
,,,,src/java/org/apache/avro/io/ResolvingDecoder.java,91,72,204,,
,,,,src/java/org/apache/avro/io/ResolvingTable.java,489,0,0,,
,,,,src/java/org/apache/avro/io/ValidatingDecoder.java,205,77,230,,
,,,,src/java/org/apache/avro/io/ValidatingEncoder.java,113,91,203,,
,,,,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,0,103,103,,
,,,,src/java/org/apache/avro/io/parsing/Parser.java,0,145,145,,
,,,,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,0,338,338,,
,,,,src/java/org/apache/avro/io/parsing/SkipParser.java,0,95,95,,
,,,,src/java/org/apache/avro/io/parsing/Symbol.java,0,383,383,,
,,,,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,0,139,139,,
,,,,src/java/org/apache/avro/ipc/AvroRemoteException.java,0,1,41,,
,,,,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,1,2,87,,
,,,,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,3,7,91,,
,,,,src/java/org/apache/avro/ipc/RPCContext.java,0,149,149,,
,,,,src/java/org/apache/avro/ipc/RPCPlugin.java,0,74,74,,
,,,,src/java/org/apache/avro/ipc/Requestor.java,5,54,232,,
,,,,src/java/org/apache/avro/ipc/Responder.java,10,58,222,,
,,,,src/java/org/apache/avro/ipc/SocketServer.java,1,2,111,,
,,,,src/java/org/apache/avro/ipc/SocketTransceiver.java,2,4,95,,
,,,,src/java/org/apache/avro/ipc/Transceiver.java,2,3,43,,
,,,,src/java/org/apache/avro/reflect/FixedSize.java,3,10,37,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,18,79,305,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumReader.java,11,11,118,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,21,19,66,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,1,30,114,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,1,6,129,,
,,,,src/java/org/apache/avro/specific/ProtocolTask.java,2,3,106,,
,,,,src/java/org/apache/avro/specific/SchemaTask.java,0,1,29,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,4,23,288,,
