Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,100,,100,,100,,100,,100
,100,,98.43298511,,100,,100,,100
,100,,98.64526886,,97.34500148,,100,,100
,100,,100,,100,,100,,95.8287596
,100,,94.80812641,,99.91806044,,100,,100
,100,,99.9680341,,100,,99.8389694,,100
,100,,99.97868713,,100,,100,,99.57401491
,100,,99.96804431,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.94675753,,100,,99.83948636,,99.89384289
,90.73405535,,99.94676887,,100,,100,,100
,100,,100,,99.98074238,,100,,100
,99.31584949,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.76637995,,99.99037351,,99.84,,100
,100,,99.97881356,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.96823044,,99.99037536,,100,,100
,100,,100,,99.92305103,,96.13486842,,21.4379085
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.6941896,,99.97116355,,100,,100
,100,,100,,99.99039016,,100,,97.32620321
,100,,99.47196114,,100,,100,,100
,24.21652422,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.83079526,,100
,95.67147614,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.81899489,,100,,100,,100
,100,,100,,100,,96.07843137,,100
,100,,100,,99.99039201,,100,,100
,100,,100,,96.23324882,,100,,100
,100,,100,,100,,99.85380117,,100
,100,,100,,100,,100,,100
,100,,95.99236641,,100,,100,,100
,100,,99.98816568,,99.94956005,,100,,98.47660501
,100,,100,,100,,100,,100
,100,,99.57582185,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.96480113,,100,,100,,98.37662338
,100,,100,,100,,99.9270073,,100
,100,,97.34291253,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.77039816,,100,,100
,100,,100,,99.9888043,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.05292479,,100,,100,,100
,100,,99.92170898,,99.9776086,,100,,100
,100,,99.92157741,,99.74367547,,100,,89.33747412
,100,,100,,99.91684222,,100,,89.33747412
,100,,100,,99.93910203,,100,,89.33747412
,100,,100,,100,,99.27536232,,100
,100,,100,,100,,95.41484716,,100
,100,,99.0599038,,100,,99.41477688,,100
,100,,100,,99.98340708,,100,,100
,100,,100,,100,,99.92732558,,100
,95.67147614,,100,,99.96130245,,100,,100
,95.33851276,,100,,100,,100,,96.26352016
,100,,99.80754838,,100,,100,,88.24082785
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,100
,100,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,100
,100,,99.98926578,,100,,100,,100
,100,,100,,100,,99.70866715,,93.1880109
,100,,100,,99.98894661,,100,,100
,100,,100,,100,,97.75449102,,100
,100,,100,,100,,99.69348659,,100
,95.33851276,,100,,100,,100,,99.82110912
,95.33851276,,100,,100,,100,,76.15384615
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.61656442,,100
,95.33851276,,100,,99.84484956,,100,,99.71509972
,100,,94.65611686,,100,,100,,90.4451683
,100,,100,,100,,100,,100
,100,,85.52667957,,100,,100,,100
,100,,92.44450978,,100,,100,,100
,100,,100,,99.96668147,,100,,96.93779904
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,95.33851276,,98.43729307,,99.93900072,,98.77017679,,92.75362319
,95.33851276,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,96.11742424
,95.33851276,,100,,99.88366295,,100,,88.58230257
,95.33851276,,100,,100,,100,,96.96699376
,95.33851276,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,99.11268855
,95.33851276,,100,,99.97784302,,100,,100
,95.33851276,,100,,100,,100,,96.03603604
,100,,100,,100,,100,,100
,100,,100,,99.97231297,,100,,100
,100,,99.97446374,,100,,100,,100
,100,,100,,100,,100,,100
,100,,87.9767379,,100,,100,,100
,100,,100,,100,,99.84662577,,100
,100,,100,,100,,99.61832061,,99.72727273
,100,,100,,100,,100,,100
,100,,100,,99.95572528,,99.543379,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,96.21525415,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.84802432,,100
,100,,99.88510699,,100,,100,,100
,95.33851276,,95.20746626,,95.01735577,,100,,69.47988224
,95.33851276,,99.83125211,,95.01735577,,100,,100
,100,,99.96625422,,100,,98.9449887,,100
,95.33851276,,100,,100,,99.7754491,,99.72727273
,95.33851276,,100,,95.05277045,,100,,100
,100,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,100
,95.33851276,,100,,100,,100,,100
,58.81826321,,100,,100,,100,,100
,58.81826321,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,95.33851276,,99.88756465,,99.95265899,,100,,100
,100,,100,,99.94874828,,100,,100
,95.33851276,,100,,100,,100,,95.37337662
,95.33851276,,100,,100,,100,,100
,100,,99.98876909,,99.988182,,100,,100
,100,,99.97754827,,100,,99.85052317,,100
,100,,99.92149826,,100,,100,,100
,100,,99.91034405,,100,,100,,100
,88.83034773,,100,,100,,100,,100
,97.97979798,,99.98879175,,99.97241814,,100,,100
,100,,100,,100,,99.09977494,,100
,99.59758551,,100,,100,,100,,100
,100,,99.78749581,,100,,100,,100
,100,,100,,100,,100,,100
,88.58921162,,100,,100,,100,,100
,99.14346895,,100,,99.98423645,,99.84939759,,100
,99.24973205,,99.93304319,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,94.2155309,,100
,96.8238691,,100,,100,,100,,100
,100,,100,,99.96455437,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.2139738,,100,,100,,100,,100
,99.2139738,,99.95538204,,99.98032193,,93.78980892,,100
,89.93288591,,100,,100,,93.87917329,,100
,100,,100,,99.96459899,,100,,100
,97.23991507,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.96654399,,99.98427673,,100,,100
,100,,100,,99.96856334,,100,,99.70845481
,100,,100,,100,,100,,100
,100,,100,,100,,99.91638796,,100
,100,,100,,99.99214084,,100,,100
,94.59459459,,93.77222159,,99.97248968,,100,,100
,100,,100,,99.98427982,,100,,94.97607656
,93.90774587,,100,,100,,100,,100
