NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,113,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,38,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,31,0,31,31,1,0,1,3,7,1,1,0.0,852,1,309,5,126,122,4,3927,3746,181,30,30,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,29,4,25,33,0,0,0,42,84,1,2,0.32984607,1612,12,1,0,199,196,3,6716,6600,116,68,68,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,318,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,82,17,65,99,1,0,1,31,38,1,2,0.967294779,908,2,167,2,111,106,5,4214,3865,349,29,28,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,128,9,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,25,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,123,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
4,31,37,6,68,0,0,0,79,652,1,2,1.553844031,3691,10,0,0,577,578,1,19149,19246,97,139,139,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,6,3,3,9,0,0,0,36,162,1,2,0.764204507,830,4,0,0,96,96,0,3406,3388,18,42,42,0,1,100.0,NoArch
1,5,13,8,18,0,0,0,31,631,1,1,0.0,842,4,23,0,92,94,2,2954,2968,14,26,26,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,89,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,97,1,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,41,74,33,115,0,0,0,37,1108,1,2,0.126531592,634,4,256,4,80,80,0,2771,3023,252,35,35,0,1,100.0,NoArch
18,520,219,301,739,1,0,1,4,54,1,3,3.738802008,3017,1,23,0,382,382,0,19178,19178,0,143,143,0,1,100.0,NoArch
3,131,55,76,186,0,0,0,12,207,1,2,1.34105547,1263,3,108,1,128,117,11,6530,6231,299,53,49,4,1,100.0,NoArch
1,1,1,0,2,0,0,0,7,57,1,1,0.0,531,2,8,0,55,55,0,2857,2857,0,41,41,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,8,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,4,4,0,8,0,0,0,19,31,1,1,0.0,809,12,1,1,98,98,0,4371,4374,3,21,21,0,1,100.0,NoArch
18,524,246,278,770,0,0,0,22,286,1,5,2.189772773,8260,3,44,10,1093,1086,7,43305,42744,561,374,367,7,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,88,6,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,85,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
